stage,n,newname
CALYPTOPIS I,4459,calyptopis i
COPEPODITE I-III,8918,copepodite i-iii
Cyst,4459,cyst
"IMMATURE (SEXUALLY), JUVENILE, OR POSTLARVA",8918,"immature (sexually), juvenile, or postlarva"
PARVA (POSTLARVA),4459,parva (postlarva)
adult,277740,adult
adult atlantic,290,adult atlantic
adult total,290,adult total
calyptopis,290,calyptopis
calyptopis (protozoea),9258,calyptopis (protozoea)
calyptopis i,4799,calyptopis i
copepedite iii-v,14397,copepedite iii-v
copepedite iii-v   ,13377,copepedite iii-v
copepodite,194418,copepodite
copepodite I,17836,copepodite i
copepodite I-IV,151606,copepodite i-iv
copepodite I-V,44590,copepodite i-v
copepodite I-V (Pseudocalanus / copepodite I-VI (Paracalanus),13377,copepodite i-v (pseudocalanus / copepodite i-vi (paracalanus)
copepodite I-VI,66885,copepodite i-vi
copepodite II,31213,copepodite ii
copepodite II-VI,22295,copepodite ii-vi
copepodite III,26754,copepodite iii
copepodite III-IV,31213,copepodite iii-iv
copepodite III-VI,13377,copepodite iii-vi
copepodite IV,62426,copepodite iv
copepodite IV-V,53508,copepodite iv-v
copepodite IV-VI,44590,copepodite iv-vi
copepodite V,115934,copepodite v
copepodite V-VI,258622,copepodite v-vi
copepodite VI,379015,copepodite vi
copepodite i,19196,copepodite i
copepodite i-iii,9598,copepodite i-iii
copepodite i-iv,164036,copepodite i-iv
copepodite i-v,38392,copepodite i-v
copepodite i-v (pseudocalanus / copepodite i-vi (paracalanus),14397,copepodite i-v (pseudocalanus / copepodite i-vi (paracalanus)
copepodite i-vi,71985,copepodite i-vi
copepodite ii,33593,copepodite ii
copepodite ii-vi,23995,copepodite ii-vi
copepodite iii,28794,copepodite iii
copepodite iii-iv,23995,copepodite iii-iv
copepodite iii-vi,14397,copepodite iii-vi
copepodite iv,67186,copepodite iv
copepodite iv-v,52789,copepodite iv-v
copepodite iv-vi,47990,copepodite iv-vi
copepodite v,124774,copepodite v
copepodite v-vi,269614,copepodite v-vi
copepodite vi,393518,copepodite vi
cyphonautes,9258,cyphonautes
cypris,18806,cypris
cyst,4799,cyst
egg,92580,egg
"immature (sexually), juvenile, or adult",286998,"immature (sexually), juvenile, or adult"
"immature (sexually), juvenile, or postlarva",9598,"immature (sexually), juvenile, or postlarva"
"immature (sexually, or juvenile)",46290,"immature (sexually, or juvenile)"
larva,194418,larva
larvae,2030,larvae
medusa,27774,medusa
megalopa,580,megalopa
megalopa (postlarva),9258,megalopa (postlarva)
molt,9258,molt
nauplii,1160,nauplii
nauplius,92580,nauplius
parva (postlarva),4799,parva (postlarva)
post calyptopis,9258,post calyptopis
total,2320,total
total traverse,290,total traverse
trochophore,9258,trochophore
unstaged,1549560,unstaged
veliger,18516,veliger
with oil globules,580,with oil globules
without oil globules,580,without oil globules
zoea,19096,zoea
